record_ID,units_sold
212885,29.0
212886,20.0
212888,20.0
212889,41.0
212890,21.0
212891,66.0
212892,20.0
212893,28.0
212896,30.0
212899,5.0
212900,14.0
212901,22.0
212902,14.0
212903,13.0
212905,33.0
212906,12.0
212907,68.0
212910,15.0
212911,14.0
212914,13.0
212915,114.0
212916,72.0
212917,36.0
212919,39.0
212920,58.0
212921,82.0
212924,75.0
212925,47.0
212926,270.0
212927,9.0
212929,69.0
212930,57.0
212931,13.0
212932,61.0
212933,69.0
212934,77.0
212935,11.0
212936,58.0
212937,64.0
212938,13.0
212940,40.0
212941,44.0
212942,31.0
212946,46.0
212947,59.0
212948,142.0
212949,43.0
212950,52.0
212951,24.0
212952,39.0
212954,53.0
212955,26.0
212956,26.0
212959,16.0
212960,20.0
212964,71.0
212965,25.0
212966,171.0
212967,18.0
212968,14.0
212969,35.0
212970,45.0
212971,22.0
212973,29.0
212974,32.0
212977,47.0
212978,53.0
212979,24.0
212981,19.0
212982,41.0
212983,40.0
212984,42.0
212985,41.0
212986,46.0
212987,111.0
212988,35.0
212989,227.0
212990,24.0
212991,18.0
212993,54.0
212994,59.0
212995,37.0
212996,35.0
212997,42.0
212998,60.0
212999,6.0
213001,13.0
213002,13.0
213006,15.0
213007,19.0
213011,26.0
213012,12.0
213013,68.0
213016,18.0
213017,11.0
213020,25.0
213021,153.0
213022,103.0
213023,71.0
213025,46.0
213026,49.0
213027,83.0
213031,102.0
213032,52.0
213033,335.0
213034,25.0
213035,16.0
213036,66.0
213037,70.0
213038,53.0
213039,23.0
213040,31.0
213041,75.0
213043,19.0
213048,128.0
213049,99.0
213050,39.0
213053,65.0
213054,65.0
213055,101.0
213056,52.0
213059,67.0
213060,55.0
213061,253.0
213064,67.0
213065,43.0
213066,40.0
213068,65.0
213069,87.0
213070,34.0
213072,64.0
213073,57.0
213074,27.0
213076,17.0
213077,36.0
213078,50.0
213079,23.0
213080,25.0
213081,28.0
213082,85.0
213083,26.0
213084,194.0
213085,27.0
213086,23.0
213087,40.0
213088,65.0
213089,26.0
213090,31.0
213091,43.0
213092,52.0
213093,6.0
213094,10.0
213096,19.0
213097,25.0
213098,19.0
213100,9.0
213101,19.0
213102,31.0
213103,24.0
213105,38.0
213106,48.0
213107,20.0
213108,92.0
213109,27.0
213110,36.0
213111,21.0
213113,38.0
213114,41.0
213115,6.0
213123,32.0
213127,72.0
213128,45.0
213129,25.0
213131,31.0
213132,40.0
213133,50.0
213135,59.0
213136,23.0
213137,160.0
213138,12.0
213140,39.0
213141,30.0
213142,41.0
213145,48.0
213147,9.0
213148,60.0
213149,26.0
213150,9.0
213151,20.0
213152,28.0
213153,11.0
213154,60.0
213155,23.0
213156,126.0
213157,17.0
213158,14.0
213159,37.0
213160,37.0
213161,24.0
213162,21.0
213163,26.0
213164,35.0
213167,15.0
213168,28.0
213169,189.0
213170,164.0
213171,94.0
213174,67.0
213175,83.0
213176,102.0
213179,29.0
213180,140.0
213181,72.0
213182,332.0
213183,33.0
213187,70.0
213188,68.0
213189,79.0
213191,39.0
213192,95.0
213194,26.0
213195,10.0
213197,12.0
213199,9.0
213200,26.0
213202,30.0
213204,54.0
213205,26.0
213206,92.0
213207,21.0
213208,77.0
213209,39.0
213215,86.0
213216,72.0
213217,45.0
213219,55.0
213220,59.0
213221,71.0
213225,61.0
213226,38.0
213227,214.0
213230,44.0
213231,36.0
213233,35.0
213235,78.0
213236,11.0
213238,122.0
213239,78.0
213240,36.0
213241,40.0
213242,48.0
213243,57.0
213245,76.0
213246,37.0
213247,287.0
213248,26.0
213249,15.0
213250,68.0
213251,47.0
213252,17.0
213254,36.0
213255,70.0
213256,5.0
213257,21.0
213260,10.0
213265,34.0
213268,11.0
213269,52.0
213270,43.0
213273,33.0
213275,41.0
213276,20.0
213278,7.0
213279,23.0
213280,61.0
213281,34.0
213282,16.0
213283,25.0
213285,112.0
213286,42.0
213287,198.0
213288,24.0
213289,20.0
213292,45.0
213293,45.0
213294,22.0
213296,44.0
213297,44.0
213301,22.0
213303,7.0
213304,17.0
213305,41.0
213306,28.0
213308,51.0
213309,46.0
213310,43.0
213311,24.0
213312,132.0
213314,10.0
213315,32.0
213316,29.0
213317,15.0
213320,177.0
213321,112.0
213322,30.0
213325,58.0
213326,69.0
213327,104.0
213330,41.0
213331,98.0
213332,45.0
213333,213.0
213334,13.0
213335,5.0
213336,67.0
213337,48.0
213338,18.0
213340,72.0
213341,76.0
213343,12.0
213346,215.0
213347,27.0
213348,10.0
213351,8.0
213352,39.0
213353,25.0
213354,21.0
213355,34.0
213356,34.0
213357,43.0
213358,21.0
213359,161.0
213360,9.0
213361,8.0
213363,53.0
213364,27.0
213365,32.0
213366,31.0
213367,37.0
213369,70.0
213370,60.0
213371,18.0
213372,15.0
213373,26.0
213374,46.0
213375,20.0
213376,23.0
213377,25.0
213378,68.0
213379,19.0
213380,131.0
213381,13.0
213382,15.0
213383,41.0
213384,51.0
213385,31.0
213387,32.0
213388,41.0
213390,9.0
213391,27.0
213392,29.0
213394,18.0
213395,45.0
213396,27.0
213399,57.0
213400,20.0
213401,125.0
213403,24.0
213404,26.0
213408,16.0
213409,7.0
213410,7.0
213411,15.0
213412,51.0
213413,45.0
213414,18.0
213415,16.0
213416,28.0
213417,29.0
213418,19.0
213419,13.0
213420,12.0
213421,64.0
213422,15.0
213423,131.0
213425,12.0
213426,30.0
213427,29.0
213428,18.0
213431,34.0
213432,8.0
213434,13.0
213435,69.0
213436,60.0
213437,32.0
213439,24.0
213440,36.0
213441,46.0
213444,56.0
213445,41.0
213446,25.0
213447,137.0
213448,40.0
213449,25.0
213454,60.0
213455,37.0
213456,27.0
213457,41.0
213458,38.0
213461,39.0
213462,27.0
213463,144.0
213466,35.0
213467,14.0
213471,12.0
213472,67.0
213473,43.0
213474,18.0
213476,31.0
213477,44.0
213478,47.0
213479,72.0
213480,42.0
213481,184.0
213484,38.0
213485,58.0
213486,18.0
213488,26.0
213489,33.0
213490,5.0
213491,24.0
213494,22.0
213495,16.0
213496,11.0
213497,20.0
213502,42.0
213503,25.0
213505,21.0
213506,40.0
213507,22.0
213510,35.0
213511,25.0
213512,7.0
213514,15.0
213516,43.0
213517,17.0
213518,117.0
213519,15.0
213520,11.0
213521,27.0
213522,27.0
213523,13.0
213526,24.0
213528,9.0
213530,36.0
213531,35.0
213532,21.0
213533,7.0
213535,14.0
213536,22.0
213537,33.0
213538,29.0
213540,35.0
213541,64.0
213542,23.0
213543,122.0
213545,7.0
213546,29.0
213547,51.0
213548,24.0
213550,31.0
213551,36.0
213554,15.0
213559,28.0
213560,18.0
213561,33.0
213562,41.0
213563,36.0
213564,50.0
213565,18.0
213566,104.0
213567,38.0
213568,30.0
213572,23.0
213573,22.0
213574,19.0
213575,6.0
213576,6.0
213577,22.0
213578,14.0
213579,24.0
213580,31.0
213581,57.0
213582,20.0
213583,111.0
213584,12.0
213587,45.0
213588,34.0
213591,42.0
213593,48.0
213594,38.0
213597,18.0
213598,22.0
213599,29.0
213600,20.0
213601,21.0
213602,31.0
213603,66.0
213604,29.0
213605,167.0
213606,25.0
213607,17.0
213608,41.0
213609,34.0
213610,24.0
213612,25.0
213613,35.0
213614,19.0
213615,166.0
213616,135.0
213617,43.0
213619,60.0
213620,72.0
213621,86.0
213624,34.0
213625,89.0
213626,68.0
213627,328.0
213630,70.0
213631,53.0
213635,81.0
213639,31.0
213640,27.0
213641,9.0
213643,15.0
213644,25.0
213645,21.0
213648,53.0
213649,21.0
213650,118.0
213651,23.0
213652,18.0
213653,35.0
213654,26.0
213658,30.0
213660,11.0
213661,16.0
213663,8.0
213664,24.0
213665,46.0
213666,29.0
213669,74.0
213670,34.0
213671,142.0
213673,28.0
213674,81.0
213675,34.0
213678,46.0
213681,40.0
213682,33.0
213683,19.0
213685,19.0
213686,42.0
213687,42.0
213688,51.0
213689,46.0
213690,42.0
213691,70.0
213692,32.0
213693,197.0
213694,13.0
213696,36.0
213697,29.0
213698,16.0
213699,43.0
213700,43.0
213701,41.0
213703,57.0
213704,46.0
213707,27.0
213708,38.0
213709,38.0
213711,42.0
213712,27.0
213713,144.0
213716,39.0
213720,44.0
213723,102.0
213724,80.0
213725,20.0
213727,46.0
213728,51.0
213729,52.0
213733,62.0
213734,49.0
213735,220.0
213736,65.0
213737,47.0
213738,19.0
213741,63.0
213743,199.0
213744,117.0
213745,71.0
213748,57.0
213749,59.0
213750,101.0
213752,111.0
213753,68.0
213754,339.0
213755,36.0
213756,22.0
213758,76.0
213759,64.0
213760,36.0
213761,38.0
213762,48.0
213763,115.0
213764,6.0
213765,26.0
213768,229.0
213769,158.0
213770,64.0
213771,15.0
213773,68.0
213774,75.0
213775,119.0
213779,106.0
213780,63.0
213781,374.0
213782,15.0
213783,11.0
213785,75.0
213786,56.0
213787,80.0
213788,40.0
213789,71.0
213790,98.0
213792,21.0
213796,19.0
213797,16.0
213798,11.0
213799,7.0
213800,9.0
213801,24.0
213802,24.0
213805,68.0
213806,28.0
213807,97.0
213808,5.0
213809,30.0
213811,31.0
213814,34.0
213816,17.0
213817,21.0
213819,7.0
213820,19.0
213821,16.0
213824,40.0
213825,24.0
213826,69.0
213829,22.0
213830,42.0
213831,29.0
213833,20.0
213834,21.0
213835,11.0
213838,10.0
213840,23.0
213842,28.0
213844,21.0
213848,113.0
213849,76.0
213850,41.0
213851,42.0
213852,47.0
213853,57.0
213857,69.0
213858,45.0
213859,263.0
213860,21.0
213861,8.0
213862,56.0
213863,51.0
213865,29.0
213866,48.0
213867,67.0
213870,68.0
213871,31.0
213874,36.0
213875,41.0
213878,55.0
213879,25.0
213880,168.0
213883,35.0
213884,18.0
213885,8.0
213888,42.0
213891,150.0
213892,82.0
213893,35.0
213895,38.0
213896,54.0
213897,79.0
213900,95.0
213901,47.0
213902,295.0
213903,28.0
213905,46.0
213906,47.0
213907,47.0
213909,32.0
213910,66.0
213912,23.0
213913,17.0
213918,25.0
213919,15.0
213922,21.0
213923,63.0
213924,19.0
213925,108.0
213926,7.0
213928,17.0
213930,27.0
213932,27.0
213935,27.0
213936,26.0
213939,10.0
213940,14.0
213942,63.0
213943,18.0
213944,125.0
213945,20.0
213946,15.0
213947,37.0
213948,35.0
213949,22.0
213951,19.0
213952,28.0
213954,11.0
213955,18.0
213956,17.0
213960,19.0
213961,40.0
213962,19.0
213963,38.0
213964,39.0
213965,31.0
213966,53.0
213967,31.0
213968,132.0
213971,27.0
213972,32.0
213973,18.0
213976,152.0
213977,83.0
213978,49.0
213979,25.0
213980,16.0
213981,67.0
213982,97.0
213983,127.0
213985,30.0
213986,18.0
213987,172.0
213988,93.0
213989,442.0
213990,32.0
213991,15.0
213994,85.0
213995,78.0
213996,84.0
213998,76.0
213999,99.0
214000,5.0
214001,31.0
214002,21.0
214004,58.0
214005,38.0
214006,17.0
214008,46.0
214009,47.0
214010,47.0
214011,30.0
214014,42.0
214015,50.0
214016,169.0
214017,64.0
214018,33.0
214019,73.0
214021,85.0
214022,62.0
214023,83.0
214024,69.0
214025,26.0
214026,43.0
214027,49.0
214028,52.0
214032,44.0
214033,64.0
214034,236.0
214035,74.0
214036,53.0
214040,65.0
214041,6.0
214043,213.0
214044,139.0
214045,89.0
214048,87.0
214049,102.0
214050,129.0
214051,18.0
214054,166.0
214055,87.0
214056,546.0
214057,31.0
214061,94.0
214062,131.0
214063,93.0
214065,76.0
214066,121.0
214067,28.0
214070,65.0
214071,55.0
214072,17.0
214073,16.0
214074,37.0
214075,54.0
214076,37.0
214077,20.0
214078,34.0
214079,108.0
214080,34.0
214081,212.0
214082,35.0
214083,25.0
214084,49.0
214085,80.0
214086,60.0
214088,34.0
214089,67.0
214090,5.0
214092,14.0
214096,27.0
214097,21.0
214098,19.0
214099,23.0
214100,59.0
214101,30.0
214102,109.0
214103,5.0
214104,49.0
214105,81.0
214106,33.0
214109,42.0
214111,38.0
214112,49.0
214114,18.0
214115,32.0
214116,22.0
214118,43.0
214120,40.0
214121,23.0
214122,128.0
214124,23.0
214125,21.0
214126,13.0
214129,42.0
214130,39.0
214131,10.0
214133,21.0
214134,40.0
214135,53.0
214136,21.0
214137,25.0
214138,40.0
214139,73.0
214140,23.0
214141,175.0
214142,18.0
214143,13.0
214144,36.0
214145,34.0
214146,25.0
214148,33.0
214149,39.0
214151,143.0
214152,84.0
214153,31.0
214154,51.0
214155,67.0
214156,96.0
214158,46.0
214159,81.0
214160,37.0
214161,288.0
214162,18.0
214163,11.0
214164,63.0
214165,46.0
214168,48.0
214169,72.0
214175,58.0
214176,45.0
214177,17.0
214178,47.0
214179,37.0
214180,76.0
214184,69.0
214185,40.0
214186,274.0
214187,64.0
214188,35.0
214191,56.0
214192,10.0
214193,38.0
214194,26.0
214195,12.0
214196,38.0
214197,61.0
214198,30.0
214202,89.0
214203,55.0
214204,166.0
214205,42.0
214206,126.0
214207,66.0
214209,82.0
214210,74.0
214213,28.0
214215,10.0
214216,23.0
214217,26.0
214218,9.0
214221,63.0
214222,19.0
214223,154.0
214224,19.0
214225,19.0
214226,34.0
214227,51.0
214228,25.0
214229,18.0
214230,24.0
214231,37.0
214233,10.0
214235,131.0
214236,87.0
214237,53.0
214240,56.0
214241,66.0
214242,84.0
214245,99.0
214246,52.0
214247,358.0
214248,16.0
214249,9.0
214251,77.0
214252,55.0
214253,64.0
214255,65.0
214256,101.0
214258,13.0
214261,11.0
214262,36.0
214263,18.0
214265,19.0
214266,27.0
214267,25.0
214271,75.0
214272,25.0
214273,146.0
214274,23.0
214275,19.0
214276,34.0
214277,41.0
214278,24.0
214281,33.0
214282,13.0
214283,11.0
214284,13.0
214285,19.0
214286,35.0
214287,32.0
214288,18.0
214292,22.0
214293,42.0
214296,17.0
214297,119.0
214300,174.0
214301,87.0
214302,53.0
214305,91.0
214306,109.0
214307,109.0
214310,26.0
214311,105.0
214312,72.0
214313,106.0
214314,20.0
214315,10.0
214316,83.0
214317,61.0
214318,295.0
214320,10.0
214321,23.0
214322,23.0
214325,86.0
214326,86.0
214327,16.0
214328,6.0
214330,26.0
214331,65.0
214332,33.0
214333,44.0
214334,45.0
214335,28.0
214336,73.0
214337,34.0
214338,42.0
214339,20.0
214340,16.0
214341,44.0
214342,54.0
214343,184.0
214344,16.0
214345,19.0
214346,22.0
214348,7.0
214349,15.0
214350,36.0
214351,30.0
214352,29.0
214355,38.0
214356,33.0
214357,23.0
214358,28.0
214360,76.0
214361,25.0
214362,36.0
214363,12.0
214364,9.0
214366,33.0
214367,60.0
214368,125.0
214370,23.0
214371,26.0
214373,5.0
214374,7.0
214375,12.0
214376,267.0
214377,195.0
214378,76.0
214379,18.0
214381,115.0
214382,145.0
214383,195.0
214387,224.0
214388,104.0
214389,194.0
214390,36.0
214391,24.0
214393,121.0
214394,92.0
214395,267.0
214396,13.0
214397,28.0
214398,56.0
214399,11.0
214400,60.0
214402,13.0
214403,84.0
214404,82.0
214406,58.0
214407,66.0
214408,57.0
214411,36.0
214412,58.0
214413,35.0
214414,59.0
214415,11.0
214416,8.0
214417,55.0
214418,35.0
214421,9.0
214422,23.0
214425,191.0
214426,103.0
214427,73.0
214428,13.0
214430,120.0
214431,131.0
214432,113.0
214434,138.0
214435,126.0
214436,131.0
214437,28.0
214438,12.0
214440,93.0
214441,83.0
214443,11.0
214444,15.0
214445,27.0
214447,37.0
214450,36.0
214454,20.0
214455,36.0
214456,35.0
214457,24.0
214458,39.0
214459,39.0
214460,61.0
214461,24.0
214462,44.0
214463,15.0
214464,9.0
214466,45.0
214467,53.0
214468,106.0
214469,18.0
214470,20.0
214471,23.0
214472,28.0
214473,23.0
214475,11.0
214476,32.0
214477,28.0
214478,32.0
214481,44.0
214482,17.0
214483,41.0
214484,13.0
214487,36.0
214488,86.0
214491,14.0
214494,38.0
214495,24.0
214498,19.0
214499,58.0
214500,52.0
214501,16.0
214504,101.0
214505,43.0
214506,90.0
214507,27.0
214508,25.0
214510,49.0
214511,62.0
214512,135.0
214513,15.0
214514,17.0
214515,25.0
214517,17.0
214518,28.0
214519,31.0
214522,19.0
214523,40.0
214524,19.0
214526,39.0
214527,35.0
214528,19.0
214529,15.0
214530,19.0
214531,27.0
214534,14.0
214539,7.0
214540,18.0
214541,36.0
214542,16.0
214543,17.0
214545,33.0
214546,13.0
214547,23.0
214550,19.0
214551,15.0
214554,9.0
214555,111.0
214556,68.0
214557,37.0
214559,66.0
214560,80.0
214561,82.0
214564,72.0
214565,45.0
214566,69.0
214567,9.0
214569,74.0
214570,33.0
214571,205.0
214572,10.0
214573,19.0
214574,30.0
214575,10.0
214577,53.0
214578,54.0
214579,10.0
214581,37.0
214582,43.0
214583,28.0
214587,38.0
214588,52.0
214589,41.0
214590,37.0
214591,50.0
214592,282.0
214593,9.0
214595,18.0
214596,37.0
214597,29.0
214600,25.0
214601,21.0
214605,70.0
214606,26.0
214607,67.0
214608,17.0
214609,14.0
214610,36.0
214611,49.0
214612,116.0
214614,14.0
214615,17.0
214618,45.0
214619,68.0
214620,21.0
214622,29.0
214623,66.0
214624,40.0
214625,48.0
214626,54.0
214627,54.0
214628,99.0
214629,33.0
214630,67.0
214631,25.0
214632,20.0
214634,54.0
214635,60.0
214636,245.0
214637,21.0
214638,17.0
214639,42.0
214640,7.0
214642,17.0
214643,12.0
214646,25.0
214647,19.0
214651,27.0
214652,11.0
214653,17.0
214656,19.0
214657,62.0
214660,13.0
214661,145.0
214662,96.0
214663,64.0
214665,63.0
214666,68.0
214667,81.0
214671,107.0
214672,53.0
214673,90.0
214674,23.0
214675,18.0
214676,72.0
214677,96.0
214678,210.0
214679,5.0
214680,11.0
214681,24.0
214683,18.0
214688,105.0
214689,92.0
214690,48.0
214693,75.0
214694,92.0
214695,98.0
214696,56.0
214699,66.0
214700,56.0
214701,71.0
214704,71.0
214705,32.0
214706,225.0
214708,9.0
214709,19.0
214710,36.0
214712,64.0
214713,59.0
214714,22.0
214716,23.0
214717,48.0
214718,55.0
214719,34.0
214720,33.0
214721,37.0
214722,78.0
214723,29.0
214724,59.0
214725,26.0
214726,23.0
214727,44.0
214728,66.0
214729,124.0
214730,13.0
214731,24.0
214732,32.0
214733,7.0
214734,9.0
214736,17.0
214737,23.0
214738,21.0
214740,17.0
214741,37.0
214742,32.0
214743,45.0
214745,31.0
214746,50.0
214747,19.0
214748,26.0
214749,27.0
214750,36.0
214751,103.0
214753,19.0
214754,18.0
214755,6.0
214763,30.0
214767,77.0
214768,43.0
214769,24.0
214771,33.0
214772,38.0
214773,49.0
214775,56.0
214776,26.0
214777,45.0
214778,14.0
214780,40.0
214781,30.0
214782,125.0
214785,16.0
214787,9.0
214788,48.0
214789,34.0
214790,12.0
214791,34.0
214792,29.0
214793,13.0
214794,59.0
214795,25.0
214796,42.0
214797,16.0
214798,13.0
214799,40.0
214800,38.0
214801,80.0
214802,16.0
214803,19.0
214804,23.0
214807,21.0
214808,27.0
214809,187.0
214810,141.0
214811,87.0
214813,84.0
214814,105.0
214815,100.0
214818,40.0
214819,136.0
214820,70.0
214821,136.0
214822,29.0
214826,71.0
214827,71.0
214828,367.0
214830,9.0
214831,27.0
214833,26.0
214834,10.0
214836,8.0
214838,12.0
214839,36.0
214841,22.0
214843,58.0
214844,23.0
214845,25.0
214846,19.0
214847,79.0
214848,177.0
214854,82.0
214855,68.0
214856,40.0
214858,60.0
214859,56.0
214860,69.0
214864,59.0
214865,37.0
214866,58.0
214869,46.0
214870,43.0
214872,8.0
214874,23.0
214875,11.0
214877,111.0
214878,72.0
214879,35.0
214880,48.0
214881,65.0
214882,67.0
214884,76.0
214885,37.0
214886,76.0
214887,25.0
214888,15.0
214889,75.0
214890,45.0
214891,219.0
214893,7.0
214894,26.0
214895,7.0
214896,19.0
214899,16.0
214904,34.0
214907,9.0
214908,52.0
214909,104.0
214912,15.0
214914,43.0
214915,22.0
214917,7.0
214918,28.0
214919,74.0
214920,32.0
214921,21.0
214922,29.0
214924,110.0
214925,42.0
214926,82.0
214927,25.0
214928,23.0
214931,52.0
214932,49.0
214933,103.0
214935,23.0
214936,31.0
214940,19.0
214942,5.0
214943,23.0
214944,59.0
214945,31.0
214947,67.0
214948,62.0
214949,42.0
214950,22.0
214951,28.0
214953,10.0
214954,29.0
214955,26.0
214956,132.0
214959,168.0
214960,103.0
214961,26.0
214964,67.0
214965,82.0
214966,106.0
214969,35.0
214970,95.0
214971,44.0
214972,104.0
214973,13.0
214974,5.0
214975,71.0
214976,49.0
214977,244.0
214979,17.0
214980,20.0
214982,9.0
214985,159.0
214986,27.0
214987,5.0
214990,15.0
214991,58.0
214992,26.0
214993,28.0
214994,41.0
214995,27.0
214996,52.0
214997,23.0
214998,39.0
214999,10.0
215000,8.0
215002,53.0
215003,93.0
215004,13.0
215005,12.0
215006,19.0
215008,66.0
215009,42.0
215010,11.0
215011,18.0
215012,35.0
215013,46.0
215014,31.0
215015,31.0
215016,37.0
215017,69.0
215018,21.0
215019,41.0
215020,14.0
215021,12.0
215022,42.0
215023,53.0
215024,131.0
215026,16.0
215027,24.0
215029,10.0
215030,31.0
215031,27.0
215033,24.0
215034,66.0
215035,26.0
215038,54.0
215039,20.0
215040,40.0
215043,25.0
215044,30.0
215048,9.0
215049,9.0
215050,8.0
215051,15.0
215052,63.0
215053,56.0
215054,19.0
215055,24.0
215056,41.0
215057,28.0
215058,19.0
215059,13.0
215060,14.0
215061,49.0
215062,14.0
215063,37.0
215065,12.0
215066,32.0
215067,31.0
215068,151.0
215071,14.0
215072,8.0
215074,14.0
215075,65.0
215076,56.0
215077,29.0
215079,32.0
215080,40.0
215081,45.0
215084,53.0
215085,39.0
215086,26.0
215087,40.0
215088,39.0
215089,23.0
215094,60.0
215095,39.0
215096,33.0
215097,44.0
215098,41.0
215101,36.0
215102,30.0
215103,44.0
215106,34.0
215107,16.0
215111,13.0
215112,61.0
215113,40.0
215114,17.0
215116,35.0
215117,45.0
215118,45.0
215119,69.0
215120,46.0
215121,70.0
215124,38.0
215125,52.0
215126,199.0
215128,10.0
215129,13.0
215130,6.0
215131,25.0
215134,20.0
215135,16.0
215136,16.0
215137,29.0
215142,37.0
215143,21.0
215145,20.0
215146,39.0
215147,113.0
215150,34.0
215151,24.0
215152,11.0
215154,15.0
215156,44.0
215157,16.0
215158,36.0
215159,16.0
215160,12.0
215161,28.0
215162,28.0
215163,62.0
215166,14.0
215167,13.0
215169,36.0
215170,39.0
215171,22.0
215172,6.0
215174,23.0
215175,33.0
215176,34.0
215177,32.0
215179,40.0
215180,70.0
215181,22.0
215182,38.0
215184,8.0
215185,30.0
215186,49.0
215187,105.0
215189,18.0
215190,20.0
215193,16.0
215198,51.0
215199,18.0
215200,36.0
215201,44.0
215202,41.0
215203,47.0
215204,17.0
215205,29.0
215206,17.0
215207,26.0
215211,11.0
215212,19.0
215213,18.0
215214,9.0
215215,13.0
215216,35.0
215217,15.0
215218,31.0
215219,32.0
215220,63.0
215221,20.0
215222,26.0
215223,12.0
215226,50.0
215227,123.0
215230,17.0
215232,37.0
215233,32.0
215236,23.0
215237,35.0
215238,30.0
215239,24.0
215240,23.0
215241,27.0
215242,60.0
215243,28.0
215244,40.0
215245,23.0
215246,16.0
215247,43.0
215248,36.0
215249,137.0
215251,12.0
215252,18.0
215253,18.0
215254,158.0
215255,131.0
215256,41.0
215258,81.0
215259,88.0
215260,90.0
215263,26.0
215264,83.0
215265,68.0
215266,84.0
215269,71.0
215270,48.0
215274,24.0
215278,31.0
215279,27.0
215280,11.0
215282,18.0
215283,39.0
215284,22.0
215287,49.0
215288,20.0
215289,39.0
215290,21.0
215291,18.0
215292,36.0
215293,29.0
215297,13.0
215299,16.0
215300,13.0
215302,5.0
215303,39.0
215304,87.0
215305,30.0
215308,63.0
215309,34.0
215310,33.0
215312,24.0
215313,79.0
215314,231.0
215317,22.0
215320,34.0
215321,35.0
215322,17.0
215324,28.0
215325,64.0
215326,41.0
215327,63.0
215328,55.0
215329,50.0
215330,58.0
215331,35.0
215332,51.0
215333,13.0
215335,37.0
215336,31.0
215337,155.0
215338,16.0
215339,21.0
215340,23.0
215342,52.0
215343,43.0
215346,28.0
215347,41.0
215348,39.0
215350,38.0
215351,30.0
215352,37.0
215355,42.0
215359,11.0
215362,97.0
215363,75.0
215364,21.0
215366,47.0
215367,56.0
215368,52.0
215372,54.0
215373,48.0
215374,59.0
215375,67.0
215376,47.0
215377,288.0
215380,17.0
215382,187.0
215383,112.0
215384,75.0
215387,69.0
215388,88.0
215389,101.0
215391,114.0
215392,66.0
215393,109.0
215394,36.0
215395,25.0
215397,80.0
215398,64.0
215399,299.0
215400,14.0
215401,14.0
215402,41.0
215403,8.0
215404,26.0
215407,215.0
215408,146.0
215409,61.0
215410,11.0
215412,95.0
215413,100.0
215414,116.0
215418,114.0
215419,63.0
215420,104.0
215421,17.0
215422,11.0
215424,79.0
215425,64.0
215426,220.0
215427,9.0
215428,19.0
215429,27.0
215431,17.0
215435,22.0
215436,13.0
215437,11.0
215438,5.0
215439,19.0
215440,55.0
215441,25.0
215444,69.0
215445,26.0
215446,48.0
215447,5.0
215448,27.0
215450,144.0
215453,16.0
215455,27.0
215456,29.0
215458,17.0
215459,37.0
215460,16.0
215463,52.0
215464,20.0
215465,18.0
215468,21.0
215469,44.0
215470,135.0
215472,10.0
215473,15.0
215474,10.0
